Player_Name,Year,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Yuzvendra Chahal,2022,17,1,5,5,5,8,62.5,0,0,0,0,0,0,17,408,527,27,May-40,19.52,7.75,15.11,1,1
Yuzvendra Chahal,2021,15,2,10,8*,0,27,37.03,0,0,0,0,4,0,15,318,374,18,03-Nov,20.77,7.05,17.66,0,0
Yuzvendra Chahal,2020,15,1,1,1,1,3,33.33,0,0,0,0,1,0,15,343,405,21,Mar-18,19.28,7.08,16.33,0,0
Yuzvendra Chahal,2019,14,1,6,4,3,16,37.5,0,0,0,0,3,0,14,296,386,18,Apr-38,21.44,7.82,16.44,1,0
Yuzvendra Chahal,2018,14,1,0,0*,0,4,0,0,0,0,0,2,0,14,300,363,12,Feb-22,30.25,7.26,25,0,0
Yuzvendra Chahal,2017,13,3,13,4*,4.33,26,50,0,0,0,0,3,0,13,261,333,14,Mar-16,23.78,7.65,18.64,0,0
Yuzvendra Chahal,2016,13,0,0,0,0,0,0,0,0,0,0,4,0,13,295,401,21,Apr-25,19.09,8.15,14.04,1,0
Yuzvendra Chahal,2015,15,2,1,1*,0,1,100,0,0,0,0,4,0,15,281,415,23,Mar-40,18.04,8.86,12.21,0,0
Yuzvendra Chahal,2014,14,2,1,1*,0,1,100,0,0,0,0,3,0,14,330,386,12,Feb-17,32.16,7.01,27.5,0,0
Yuzvendra Chahal,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,34,0,0/34,0,8.5,0,0,0
Zak Foulkes,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
Zeeshan Ansari,2025,10,0,0,0,0,0,0,0,0,0,0,4,0,10,203,333,6,Mar-42,55.5,9.84,33.83,0,0
